,스타벅스매장수
도곡동_2018_1,2
도곡동_2018_2,2
도곡동_2018_3,3
도곡동_2018_4,3
도곡동_2019_1,3
도곡동_2019_2,3
도곡동_2019_3,3
도곡동_2019_4,3
도곡동_2020_1,3
도곡동_2020_2,3
도곡동_2020_3,3
도곡동_2020_4,3
도곡동_2021_1,3
도곡동_2021_2,3
신도림동_2014_1,2
신도림동_2014_2,2
신도림동_2014_3,2
신도림동_2014_4,2
신도림동_2015_1,2
신도림동_2015_2,2
신도림동_2015_3,2
신도림동_2015_4,2
신도림동_2016_1,2
신도림동_2016_2,2
신도림동_2016_3,2
신도림동_2016_4,2
신도림동_2017_1,2
신도림동_2017_2,2
신도림동_2017_3,2
신도림동_2017_4,3
신도림동_2018_1,3
신도림동_2018_2,3
신도림동_2018_3,3
신도림동_2018_4,3
신도림동_2019_1,3
신도림동_2019_2,3
신도림동_2019_3,3
신도림동_2019_4,3
신도림동_2020_1,3
신도림동_2020_2,3
신도림동_2020_3,3
신도림동_2020_4,3
신도림동_2021_1,3
신도림동_2021_2,3
을지로6가_2018_4,1
을지로6가_2019_1,1
을지로6가_2019_2,1
을지로6가_2019_3,2
을지로6가_2019_4,2
을지로6가_2020_1,2
을지로6가_2020_2,2
을지로6가_2020_3,2
을지로6가_2020_4,2
을지로6가_2021_1,2
을지로6가_2021_2,2
목동_2020_4,11
목동_2021_1,11
목동_2021_2,11
용강동_2018_4,1
용강동_2019_1,1
용강동_2019_2,1
용강동_2019_3,1
용강동_2019_4,1
용강동_2020_1,1
용강동_2020_2,1
용강동_2020_3,1
용강동_2020_4,1
용강동_2021_1,1
용강동_2021_2,1
평창동_2019_2,1
평창동_2019_3,1
평창동_2019_4,1
평창동_2020_1,1
평창동_2020_2,1
평창동_2020_3,1
평창동_2020_4,1
평창동_2021_1,1
평창동_2021_2,1
남대문로4가_2018_4,1
남대문로4가_2019_1,1
남대문로4가_2019_2,2
남대문로4가_2019_3,2
남대문로4가_2019_4,2
남대문로4가_2020_1,2
남대문로4가_2020_2,2
남대문로4가_2020_3,2
남대문로4가_2020_4,2
남대문로4가_2021_1,2
남대문로4가_2021_2,2
구의동_2018_3,5
구의동_2018_4,5
구의동_2019_1,5
구의동_2019_2,5
구의동_2019_3,5
구의동_2019_4,5
구의동_2020_1,5
구의동_2020_2,5
구의동_2020_3,5
구의동_2020_4,5
구의동_2021_1,5
